id,runs,type,bowler
154261,1,wides,Imran Tahir
154269,1,wides,DJ Bravo
154306,1,noballs,STR Binny
154311,1,wides,DL Chahar
154316,1,wides,DL Chahar
154384,1,wides,STR Binny
154386,1,wides,B Laughlin
154388,1,wides,B Laughlin
154432,1,legbyes,AS Rajpoot
154451,1,wides,Mujeeb Ur Rahman
154460,1,noballs,AJ Tye
154500,1,wides,Shivam Mavi
154516,1,wides,R Ashwin
154533,1,wides,BB Sran
154540,1,wides,AS Rajpoot
154541,1,wides,AS Rajpoot
154548,1,wides,BB Sran
154553,1,wides,AJ Tye
154570,1,wides,Shivam Mavi
154598,1,wides,Mohammed Siraj
154619,4,legbyes,CR Woakes
154622,1,legbyes,Mohammed Siraj
154625,1,wides,Mohammed Siraj
154638,1,wides,GJ Maxwell
154680,1,legbyes,HV Patel
154717,1,wides,CH Morris
154727,1,wides,CH Morris
154743,1,legbyes,CJ Anderson
154757,1,legbyes,CR Woakes
154767,1,wides,YS Chahal
154769,1,legbyes,YS Chahal
154780,1,legbyes,Washington Sundar
154870,1,wides,B Stanlake
154902,1,wides,Shakib Al Hasan
154916,1,wides,S Kaul
154946,1,wides,B Stanlake
155003,1,wides,SN Thakur
155066,1,wides,RA Jadeja
155075,1,wides,DS Kulkarni
155104,1,noballs,BA Stokes
155123,1,legbyes,JC Archer
155149,1,wides,S Gopal
155195,1,wides,DS Kulkarni
155218,1,noballs,Mustafizur Rahman
155225,1,noballs,JJ Bumrah
155235,1,wides,MJ McClenaghan
155290,1,wides,HH Pandya
155301,1,wides,KH Pandya
155303,1,wides,KH Pandya
155334,1,legbyes,LE Plunkett
155338,2,wides,A Mishra
155340,1,wides,A Mishra
155346,1,wides,LE Plunkett
155348,1,byes,LE Plunkett
155350,1,wides,TA Boult
155353,4,legbyes,DT Christian
155354,1,legbyes,DT Christian
155361,1,wides,AS Rajpoot
155377,1,wides,AJ Tye
155378,1,legbyes,AJ Tye
155385,1,wides,AS Rajpoot
155433,1,wides,BB Sran
155435,1,wides,BB Sran
155439,1,wides,BB Sran
155455,1,legbyes,AJ Tye
155467,1,wides,AJ Tye
155473,1,legbyes,TA Boult
155478,1,legbyes,TA Boult
155574,1,legbyes,S Kaul
155613,5,wides,MJ McClenaghan
155632,1,wides,HH Pandya
155643,4,byes,MJ McClenaghan
155661,1,wides,HH Pandya
155681,1,wides,KH Pandya
155722,1,wides,Sandeep Sharma
155805,4,byes,RA Jadeja
155827,1,wides,SN Thakur
155829,1,wides,SN Thakur
155833,1,wides,DJ Bravo
155901,1,wides,SR Watson
155937,1,wides,CJ Anderson
155947,1,wides,CJ Anderson
155987,1,wides,Mohammed Siraj
156014,1,wides,YS Chahal
156027,1,noballs,YS Chahal
156032,1,legbyes,CJ Anderson
156035,1,legbyes,YS Chahal
156040,1,wides,YS Chahal
156047,1,wides,Mohammed Siraj
156049,1,wides,Mohammed Siraj
156050,1,wides,Mohammed Siraj
156053,2,wides,Mujeeb Ur Rahman
156194,1,byes,S Kaul
156203,1,byes,AS Rajpoot
156218,1,legbyes,BB Sran
156239,1,noballs,BB Sran
156254,3,wides,MK Tiwary
156291,1,legbyes,Basil Thampi
156310,1,legbyes,A Mishra
156322,1,wides,TA Boult
156409,1,wides,AD Russell
156427,1,noballs,Shivam Mavi
156432,1,legbyes,SP Narine
156519,1,wides,Avesh Khan
156522,1,wides,TA Boult
156536,1,wides,Shivam Mavi
156546,1,legbyes,M Markande
156548,1,wides,JJ Bumrah
156556,1,wides,M Markande
156567,1,legbyes,JJ Bumrah
156601,1,legbyes,HH Pandya
156609,1,wides,KH Pandya
156619,1,wides,BCJ Cutting
156661,1,wides,DJ Bravo
156681,1,wides,SR Watson
156700,1,wides,DL Chahar
156702,1,wides,SN Thakur
156749,4,byes,Imran Tahir
156759,1,wides,Imran Tahir
156774,1,legbyes,DJ Bravo
156870,1,legbyes,S Kaul
156936,1,byes,JC Archer
157037,1,byes,M Ashwin
157052,1,wides,Mohammed Siraj
157056,1,wides,Mohammed Siraj
157073,1,wides,MG Johnson
157084,1,legbyes,SP Narine
157089,1,legbyes,Shivam Mavi
157108,1,legbyes,Kuldeep Yadav
157118,1,wides,AD Russell
157126,1,wides,AD Russell
157133,1,legbyes,Kuldeep Yadav
157187,1,wides,TG Southee
157198,1,wides,TG Southee
157220,1,wides,Mohammed Siraj
157233,1,wides,Mohammed Siraj
157259,1,wides,M Ashwin
157265,2,wides,Shivam Mavi
157270,1,byes,MG Johnson
157283,1,legbyes,Avesh Khan
157316,1,legbyes,TA Boult
157352,1,byes,R Tewatia
157363,1,noballs,V Shankar
157378,1,wides,V Shankar
157381,1,wides,V Shankar
157383,1,wides,RA Jadeja
157386,1,legbyes,RA Jadeja
157413,1,legbyes,L Ngidi
157417,1,wides,Avesh Khan
157435,1,wides,KM Asif
157489,1,wides,Harbhajan Singh
157507,1,wides,L Ngidi
157510,1,wides,L Ngidi
157516,1,wides,DJ Bravo
157563,1,legbyes,UT Yadav
157564,1,wides,UT Yadav
157569,1,wides,TG Southee
157580,1,legbyes,UT Yadav
157581,1,wides,UT Yadav
157587,1,wides,Mohammed Siraj
157599,5,wides,YS Chahal
157600,1,wides,YS Chahal
157606,1,wides,Mohammed Siraj
157614,1,legbyes,YS Chahal
157638,1,wides,YS Chahal
157640,1,legbyes,YS Chahal
157643,5,wides,C de Grandhomme
157647,1,byes,C de Grandhomme
157672,1,byes,MJ McClenaghan
157675,1,noballs,MJ McClenaghan
157705,1,wides,MJ McClenaghan
157716,1,legbyes,M Markande
157719,1,legbyes,KH Pandya
157732,1,noballs,HH Pandya
157771,1,wides,Mohammed Siraj
157805,1,wides,DS Kulkarni
157806,1,wides,DS Kulkarni
157807,1,wides,DS Kulkarni
157849,1,wides,BA Stokes
157858,1,legbyes,BA Stokes
157862,1,wides,BA Stokes
157878,1,legbyes,S Nadeem
157887,1,wides,TA Boult
157907,1,wides,JC Archer
157928,1,wides,TA Boult
157951,1,wides,TA Boult
