id,dismissalKind,playerDismissed,fielder
5259,caught,V Sehwag,SM Pollock
5273,run out,AB de Villiers,DS Kulkarni
5282,caught,Shoaib Malik,AM Nayar
5294,lbw,KD Karthik,
5352,caught,YV Takawale,PJ Sangwan
5354,bowled,ST Jayasuriya,
5397,caught,RV Uthappa,Shoaib Malik
5400,bowled,DJ Thornely,
5408,bowled,AM Nayar,
5410,caught,DJ Bravo,VY Mahesh
5430,caught,SS Tiwary,Shoaib Malik
5437,caught,SM Pollock,AB de Villiers
5452,caught,G Gambhir,RV Uthappa
5455,caught,S Dhawan,RV Uthappa
5470,caught,Mohammad Asif,A Nehra
5474,caught,GD McGrath,DJ Thornely
5475,caught,PJ Sangwan,SS Tiwary
5476,caught,R Bhatia,RV Uthappa
5494,caught,MS Dhoni,GC Smith
5509,caught and bowled,S Badrinath,
5520,caught,SK Raina,Sohail Tanvir
5523,caught,Joginder Sharma,Sohail Tanvir
5531,bowled,JA Morkel,
5534,bowled,M Muralitharan,
5555,lbw,PA Patel,
5559,lbw,SP Fleming,
5572,caught,S Vidyut,SK Warne
5615,caught,SA Asnodkar,M Ntini
5628,caught,YK Pathan,SK Raina
5670,bowled,M Ntini,
5694,caught,JR Hopes,CL White
5718,caught,V Kohli,S Sreesanth
5739,lbw,Misbah-ul-Haq,
5741,caught,P Kumar,U Kaul
5743,run out,DT Patil,IK Pathan
5750,bowled,Z Khan,
5757,caught,R Dravid,DPMD Jayawardene
5762,run out,A Kumble,U Kaul
5768,caught,W Jaffer,U Kaul
5769,bowled,CL White,
5787,run out,JH Kallis,SE Marsh
5855,bowled,SE Marsh,
5900,caught,RR Sarwan,DT Patil
5921,caught,Yuvraj Singh,DT Patil
5939,caught,PA Patel,RP Singh
5942,caught,S Anirudha,Shahid Afridi
5982,caught,RG Sharma,S Badrinath
5996,bowled,Joginder Sharma,
6037,caught,SP Fleming,RG Sharma
6045,caught,S Badrinath,HH Gibbs
6086,caught,SK Raina,RG Sharma
6094,caught,MS Dhoni,Shahid Afridi
6147,caught,AC Gilchrist,S Badrinath
6151,caught and bowled,HH Gibbs,
6174,bowled,YK Pathan,
6182,stumped,GC Smith,YV Takawale
6200,caught,SK Warne,YV Takawale
6206,caught,SA Asnodkar,RV Uthappa
6212,bowled,Sohail Tanvir,
6216,caught,M Rawat,YV Takawale
6219,bowled,SK Trivedi,
6267,caught,ST Jayasuriya,YK Pathan
6294,bowled,SR Watson,
6306,caught,M Kaif,A Nehra
6308,caught,RA Jadeja,YV Takawale
6325,bowled,YV Takawale,
6334,caught,DJ Bravo,SA Asnodkar
6400,caught,S Vidyut,S Dhawan
6422,caught,SP Fleming,AB de Villiers
6426,caught,SK Raina,MK Tiwary
6471,bowled,V Sehwag,
6473,bowled,AB de Villiers,
6553,caught,G Gambhir,CK Kapugedera
6558,caught,S Dhawan,CK Kapugedera
6560,caught,Shoaib Malik,SK Raina
6575,run out,JA Morkel,V Sehwag
6613,caught,MS Dhoni,AB de Villiers
6614,caught,CK Kapugedera,S Dhawan
6624,lbw,A Chopra,
6633,caught,BJ Hodge,R Vinay Kumar
6657,run out,SC Ganguly,CL White
6666,run out,DJ Hussey,"DW Steyn,MV Boucher"
6690,caught,S Chanderpaul,M Kartik
6699,run out,J Arunkumar,BJ Hodge
6725,bowled,R Dravid,
6756,run out,CL White,M Kartik
6761,caught,T Taibu,MV Boucher
6764,bowled,LR Shukla,
6787,caught and bowled,M Kartik,
6828,caught,HH Gibbs,M Rawat
6853,caught,Shahid Afridi,MM Patel
6861,run out,RG Sharma,SK Warne
6865,caught,SB Bangar,M Rawat
6878,lbw,DB Ravi Teja,
6881,caught,SB Styris,SK Warne
6888,caught,AC Gilchrist,M Rawat
6969,caught,YK Pathan,HH Gibbs
6987,caught,GC Smith,PP Ojha
7005,run out,RP Singh,"M Rawat,Sohail Tanvir"
7057,caught,ST Jayasuriya,B Akhil
7104,caught,R Vinay Kumar,RV Uthappa
7105,run out,P Kumar,"YV Takawale,CRD Fernando"
7144,caught,MV Boucher,RV Uthappa
7147,caught,Misbah-ul-Haq,SR Tendulkar
7154,caught,SP Goswami,A Nehra
7183,caught,CL White,CRD Fernando
7187,caught,V Kohli,YV Takawale
7192,bowled,R Dravid,
7195,lbw,B Akhil,
7256,caught,S Vidyut,DPMD Jayawardene
7263,caught,SP Fleming,K Goel
7322,caught,S Badrinath,Yuvraj Singh
7350,caught,JR Hopes,MS Dhoni
7365,caught,K Goel,JA Morkel
7377,caught,SK Raina,SE Marsh
7412,bowled,RR Sarwan,
7416,caught,SE Marsh,P Amarnath
7418,caught,Yuvraj Singh,SP Fleming
7429,caught,DPMD Jayawardene,S Vidyut
7457,caught,IK Pathan,SK Raina
7458,caught,PP Chawla,CK Kapugedera
7459,caught,VRV Singh,MS Dhoni
7529,caught,HH Gibbs,Salman Butt
7570,caught,SC Ganguly,RP Singh
7579,caught,T Taibu,DB Ravi Teja
7585,caught,Salman Butt,AC Gilchrist
7644,run out,A Chopra,HH Gibbs
7662,caught,RG Sharma,SC Ganguly
7676,caught,SB Bangar,A Chopra
7697,bowled,WPUJC Vaas,
7718,caught,SB Styris,LR Shukla
7736,caught,AC Gilchrist,SC Ganguly
7737,caught,DB Ravi Teja,WP Saha
7781,caught,GC Smith,VY Mahesh
7792,bowled,RA Jadeja,
7813,bowled,AD Mascarenhas,
7829,bowled,SK Warne,
7830,run out,SR Watson,KD Karthik
7870,caught,V Sehwag,M Kaif
7876,run out,S Dhawan,MM Patel
7894,bowled,G Gambhir,
7916,caught,AB de Villiers,SK Warne
7920,caught,KD Karthik,M Rawat
7931,bowled,A Mishra,
7953,caught,MF Maharoof,Niraj Patel
7976,run out,YK Pathan,AB de Villiers
7988,run out,M Kaif,"V Sehwag,KD Karthik"
8009,caught,J Arunkumar,DPMD Jayawardene
8020,caught and bowled,CL White,
8049,bowled,R Dravid,
8063,bowled,P Kumar,
8070,bowled,R Vinay Kumar,
8080,run out,MV Boucher,"PP Chawla,U Kaul"
8108,hit wicket,Misbah-ul-Haq,
8112,bowled,V Kohli,
8201,caught,JR Hopes,DW Steyn
