id,batsman,bowler,runs
1480,RG Sharma,MF Maharoof,6
1481,RG Sharma,MF Maharoof,6
1482,RG Sharma,MF Maharoof,4
1483,RG Sharma,MF Maharoof,4
1484,RG Sharma,MF Maharoof,4
1487,AS Yadav,R Bhatia,4
1491,AS Yadav,R Bhatia,4
1497,WPUJC Vaas,VY Mahesh,6
1505,V Sehwag,RP Singh,4
1506,V Sehwag,RP Singh,4
1508,G Gambhir,RP Singh,4
1513,V Sehwag,WPUJC Vaas,4
1516,G Gambhir,WPUJC Vaas,4
1526,V Sehwag,WPUJC Vaas,4
1533,S Dhawan,RP Singh,4
1535,S Dhawan,RP Singh,4
1536,A Symonds,GD McGrath,4
1546,RG Sharma,VY Mahesh,4
1562,RG Sharma,VY Mahesh,4
1563,RG Sharma,VY Mahesh,4
1578,V Sehwag,A Symonds,6
1579,V Sehwag,A Symonds,4
1580,V Sehwag,A Symonds,6
1592,V Sehwag,SB Bangar,4
1593,V Sehwag,SB Bangar,6
1594,V Sehwag,SB Bangar,6
1595,V Sehwag,SB Bangar,4
1598,V Sehwag,Shahid Afridi,6
1606,S Dhawan,A Symonds,4
1616,V Sehwag,A Symonds,4
1617,V Sehwag,SB Bangar,4
1622,V Sehwag,A Symonds,6
1623,V Sehwag,A Symonds,4
1627,JDP Oram,MA Khote,4
1630,ST Jayasuriya,JDP Oram,4
1643,ST Jayasuriya,JDP Oram,4
1649,ST Jayasuriya,MS Gony,4
1653,RV Uthappa,JDP Oram,4
1655,RV Uthappa,JDP Oram,4
1656,RV Uthappa,JDP Oram,6
1657,ST Jayasuriya,JDP Oram,4
1676,RV Uthappa,MS Gony,4
1681,RV Uthappa,P Amarnath,4
1684,RV Uthappa,Joginder Sharma,4
1697,RV Uthappa,JDP Oram,4
1699,MS Dhoni,A Nehra,4
1702,MS Dhoni,MA Khote,6
1707,PA Patel,SM Pollock,4
1713,PA Patel,A Nehra,4
1715,PA Patel,A Nehra,4
1717,ML Hayden,SM Pollock,4
1718,ML Hayden,SM Pollock,6
1720,ML Hayden,SM Pollock,4
1730,MEK Hussey,DS Kulkarni,4
1736,ML Hayden,A Nehra,4
1737,ML Hayden,A Nehra,4
1758,ML Hayden,DJ Bravo,4
1763,SK Raina,Harbhajan Singh,6
1767,SK Raina,DJ Bravo,6
1771,ML Hayden,DJ Bravo,4
1775,SK Raina,VS Yeligati,4
1776,SK Raina,VS Yeligati,4
1783,ML Hayden,SM Pollock,4
1785,SK Raina,SM Pollock,4
1788,SK Raina,AM Nayar,6
1791,ML Hayden,AM Nayar,6
1799,MS Dhoni,DJ Bravo,4
1801,MS Dhoni,DJ Bravo,4
1803,ML Hayden,DJ Bravo,4
1805,ML Hayden,MA Khote,4
1811,MS Dhoni,DS Kulkarni,4
1813,ML Hayden,DS Kulkarni,4
1814,ML Hayden,DS Kulkarni,4
1818,ML Hayden,A Nehra,4
1821,Harbhajan Singh,JDP Oram,6
1827,Harbhajan Singh,M Muralitharan,4
1830,AM Nayar,Joginder Sharma,4
1831,AM Nayar,Joginder Sharma,4
1838,DJ Bravo,P Amarnath,4
1839,DJ Bravo,P Amarnath,4
1848,MA Khote,M Muralitharan,6
1850,AM Nayar,M Muralitharan,4
1854,Harbhajan Singh,P Amarnath,6
1856,AM Nayar,P Amarnath,4
1857,AM Nayar,P Amarnath,4
1858,AM Nayar,P Amarnath,6
1864,SM Pollock,P Amarnath,6
1868,DJ Bravo,M Muralitharan,6
1876,AM Nayar,P Amarnath,4
1878,Harbhajan Singh,JDP Oram,6
1879,SK Warne,A Symonds,6
1880,AC Gilchrist,MM Patel,4
1881,AC Gilchrist,MM Patel,4
1882,AC Gilchrist,MM Patel,4
1885,VVS Laxman,SR Watson,4
1892,Shahid Afridi,YK Pathan,4
1893,Shahid Afridi,YK Pathan,6
1901,VVS Laxman,SR Watson,4
1902,A Symonds,MM Patel,4
1903,A Symonds,MM Patel,4
1906,VVS Laxman,MM Patel,4
1908,A Symonds,SR Watson,4
1912,A Symonds,SR Watson,4
1920,A Symonds,SK Trivedi,6
1933,A Symonds,SK Trivedi,4
1946,SK Warne,Shahid Afridi,4
1956,SK Warne,A Symonds,4
1957,SK Warne,A Symonds,6
1959,AS Yadav,SR Watson,4
1965,Kamran Akmal,WPUJC Vaas,4
1969,Kamran Akmal,RP Singh,6
1980,GC Smith,WPUJC Vaas,4
1982,YK Pathan,RP Singh,4
1983,YK Pathan,RP Singh,6
1987,GC Smith,RP Singh,4
1988,YK Pathan,WPUJC Vaas,6
1989,YK Pathan,WPUJC Vaas,6
1990,YK Pathan,WPUJC Vaas,4
1992,GC Smith,WPUJC Vaas,4
1994,GC Smith,PP Ojha,4
1995,GC Smith,PP Ojha,4
